query,name,site,type,subtypes,category,phone,full_address,borough,street,city,postal_code,state,us_state,country,country_code,latitude,longitude,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,photo,street_view,located_in,working_hours,working_hours_old_format,other_hours,popular_times,business_status,about,range,posts,logo,description,verified,owner_id,owner_title,owner_link,reservation_links,booking_appointment_link,menu_link,order_links,location_link,place_id,google_id,cid,reviews_id,located_google_id
"market, Skopje, North Macedonia",Old Bazaar,,Market,"Market, Historical landmark, Tourist attraction",attractions,,"MK, Skopje 1000",Chair,MK,Skopje,1000,,,Republic of North Macedonia,MK,42.000961,21.4371546,Europe/Skopje,,FALSE,4.5,14890,"https://search.google.com/local/reviews?placeid=ChIJN5g3ra8VVBMRSB7eXi9zn9E&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 269, ""2"": 267, ""3"": 1188, ""4"": 3058, ""5"": 10108}",269,267,1188,3058,10108,43596,https://lh5.googleusercontent.com/p/AF1QipMrJX7bVXhOsEybGbWtclCVFenFD_4YYxL7s_p6=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMrJX7bVXhOsEybGbWtclCVFenFD_4YYxL7s_p6=w1600-h1000-k-no,,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-12AM"", ""Wednesday"": ""8AM-12AM"", ""Thursday"": ""8AM-12AM"", ""Friday"": ""8AM-12AM"", ""Saturday"": ""8AM-12AM"", ""Sunday"": ""9AM-12AM""}",Monday: 8AM-6PM | Tuesday: 8AM-12AM | Wednesday: 8AM-12AM | Thursday: 8AM-12AM | Friday: 8AM-12AM | Saturday: 8AM-12AM | Sunday: 9AM-12AM,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}}",,,https://lh3.googleusercontent.com/-S3iLNwossMg/AAAAAAAAAAI/AAAAAAAAAAA/BYysYBKNXjI/s44-p-k-no-ns-nd/photo.jpg,"Vibrant old bazaar built in Ottoman architectural style, with mosques, markets, shops and cafes.",TRUE,1.16E+20,Old Bazaar,https://www.google.com/maps/contrib/116181691653779235546,,,,,"https://www.google.com/maps/place/Old+Bazaar/@42.000961,21.4371546,14z/data=!4m8!1m2!2m1!1sOld+Bazaar!3m4!1s0x135415afad379837:0xd19f732f5ede1e48!8m2!3d42.000961!4d21.4371546",ChIJN5g3ra8VVBMRSB7eXi9zn9E,0x135415afad379837:0xd19f732f5ede1e48,1.51E+19,-3.34E+18,
"market, Skopje, North Macedonia",Local Famers Market,,Grocery store,Grocery store,Supermarket,,"Vladimir Polezhinovski 27, Skopje 1000",Centar,Vladimir Polezhinovski 27,Skopje,1000,,,Republic of North Macedonia,MK,41.9984526,21.4149845,Europe/Skopje,,FALSE,5,2,"https://search.google.com/local/reviews?placeid=ChIJObmgAGYVVBMRyQPLWnHGNcs&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 2}",0,0,0,0,2,2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LVXuzNlLEESf33KEg7DIiQ&cb_client=search.gws-prod.gps&w=800&h=500&yaw=220.7732&pitch=0&thumbfov=100,https://lh5.googleusercontent.com/p/AF1QipOgVladMIIdKAJVx49x62wmt0KP4EYIvjxB0Tpu=w1600-h1000-k-no,,,,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}}",,,,,FALSE,,Local Famers Market,,,,,,"https://www.google.com/maps/place/Local+Famers+Market/@41.9984526,21.4149845,14z/data=!4m8!1m2!2m1!1sLocal+Famers+Market!3m4!1s0x1354156600a0b939:0xcb35c6715acb03c9!8m2!3d41.9984526!4d21.4149845",ChIJObmgAGYVVBMRyQPLWnHGNcs,0x1354156600a0b939:0xcb35c6715acb03c9,1.46E+19,-3.80E+18,
"market, Skopje, North Macedonia","""Bunjakovec"" Farmers Market Skoplje",,Farmers' market,"Farmers' market, Market",????? ?? ????????????,,"XCXC+PG6, Skopje 1000",Centar,XCXC+PG6,Skopje,1000,,,Republic of North Macedonia,MK,41.9992824,21.4212506,Europe/Skopje,,FALSE,4,736,"https://search.google.com/local/reviews?placeid=ChIJhQF_pE4UVBMRYGbHtmuGUpY&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 34, ""2"": 54, ""3"": 143, ""4"": 173, ""5"": 332}",34,54,143,173,332,115,https://lh5.googleusercontent.com/p/AF1QipMpY9PzRzQ59j8h5kIGPNeww9hyIjGT5giNWWW-=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMpY9PzRzQ59j8h5kIGPNeww9hyIjGT5giNWWW-=w1600-h1000-k-no,,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-5PM"", ""Sunday"": ""7AM-2PM""}",Monday: 7AM-5PM | Tuesday: 7AM-5PM | Wednesday: 7AM-5PM | Thursday: 7AM-5PM | Friday: 7AM-5PM | Saturday: 7AM-5PM | Sunday: 7AM-2PM,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}}",,,,,FALSE,,"""Bunjakovec"" Farmers Market Skoplje",,,,,,"https://www.google.com/maps/place/%22Bunjakovec%22+Farmers+Market+Skoplje/@41.9992824,21.4212506,14z/data=!4m8!1m2!2m1!1s%22Bunjakovec%22+Farmers+Market+Skoplje!3m4!1s0x1354144ea47f0185:0x9652866bb6c76660!8m2!3d41.9992824!4d21.4212506",ChIJhQF_pE4UVBMRYGbHtmuGUpY,0x1354144ea47f0185:0x9652866bb6c76660,1.08E+19,-7.61E+18,
"market, Skopje, North Macedonia",Green Market Chento,,Farmers' market,Farmers' market,????? ?? ????????????,+389 70 775 632,"2G33+QGP, Madzari, Skopje",nan,"2G33+QGP, Madzari",Skopje,,,,Republic of North Macedonia,MK,42.0044675,21.5038378,Europe/Skopje,,FALSE,3.9,543,"https://search.google.com/local/reviews?placeid=ChIJK_CGPrc_VBMRlytegcNLA7g&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 47, ""2"": 33, ""3"": 116, ""4"": 88, ""5"": 259}",47,33,116,88,259,57,https://lh5.googleusercontent.com/p/AF1QipMs0TKaNSqn7GRHj1iPSg_mAOWy9FeFS08ZJgqW=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMs0TKaNSqn7GRHj1iPSg_mAOWy9FeFS08ZJgqW=w1600-h1000-k-no,,"{""Monday"": ""6AM-4PM"", ""Tuesday"": ""6AM-4PM"", ""Wednesday"": ""6AM-4PM"", ""Thursday"": ""6AM-4PM"", ""Friday"": ""6AM-4PM"", ""Saturday"": ""6AM-4PM"", ""Sunday"": ""6AM-4PM""}",Monday: 6AM-4PM | Tuesday: 6AM-4PM | Wednesday: 6AM-4PM | Thursday: 6AM-4PM | Friday: 6AM-4PM | Saturday: 6AM-4PM | Sunday: 6AM-4PM,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}}",,,,,FALSE,,Green Market Chento,,,,,,"https://www.google.com/maps/place/Green+Market+Chento/@42.0044675,21.5038378,14z/data=!4m8!1m2!2m1!1sGreen+Market+Chento!3m4!1s0x13543fb73e86f02b:0xb8034bc3815e2b97!8m2!3d42.0044675!4d21.5038378",ChIJK_CGPrc_VBMRlytegcNLA7g,0x13543fb73e86f02b:0xb8034bc3815e2b97,1.33E+19,-5.19E+18,
"market, Skopje, North Macedonia",Farmers' Market,http://skopskipazar.com.mk/,Farmers' market,Farmers' market,????? ?? ????????????,+389 2 240 4100,"11th October St. 18, Skopje 1000",Centar,11th October St. 18,Skopje,1000,,,Republic of North Macedonia,MK,41.99187,21.4337188,Europe/Skopje,,FALSE,4.2,1656,"https://search.google.com/local/reviews?placeid=ChIJW8XPA7YVVBMRLQWtjzp8Auk&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 63, ""2"": 76, ""3"": 226, ""4"": 354, ""5"": 937}",63,76,226,354,937,309,https://lh5.googleusercontent.com/p/AF1QipNMHSsJ9ALKMpbJg7ylRSMVZUEnNrKclvXYrRw5=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNMHSsJ9ALKMpbJg7ylRSMVZUEnNrKclvXYrRw5=w1600-h1000-k-no,,"{""Monday"": ""7AM-6PM"", ""Tuesday"": ""7AM-6PM"", ""Wednesday"": ""7AM-6PM"", ""Thursday"": ""7AM-6PM"", ""Friday"": ""7AM-6PM"", ""Saturday"": ""7AM-6PM"", ""Sunday"": ""7AM-2PM""}",Monday: 7AM-6PM | Tuesday: 7AM-6PM | Wednesday: 7AM-6PM | Thursday: 7AM-6PM | Friday: 7AM-6PM | Saturday: 7AM-6PM | Sunday: 7AM-2PM,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}}",,,,,FALSE,,Farmers' Market,,,,,,"https://www.google.com/maps/place/Farmers%27+Market/@41.99187,21.433718799999998,14z/data=!4m8!1m2!2m1!1sFarmers%27+Market!3m4!1s0x135415b603cfc55b:0xe9027c3a8fad052d!8m2!3d41.99187!4d21.433718799999998",ChIJW8XPA7YVVBMRLQWtjzp8Auk,0x135415b603cfc55b:0xe9027c3a8fad052d,1.68E+19,-1.66E+18,
"market, Skopje, North Macedonia",Gama Market,,Market,Market,Market,,"Kosturski Heroi 27, Skopje 1000, 1000",Centar,"Kosturski Heroi 27, Skopje 1000",Skopje,1000,,,Republic of North Macedonia,MK,41.9981754,21.4173706,Europe/Skopje,,FALSE,2,1,"https://search.google.com/local/reviews?placeid=ChIJ4UBTScwVVBMRK4a_LW9MoH0&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 0, ""2"": 1, ""3"": 0, ""4"": 0, ""5"": 0}",0,1,0,0,0,4,https://lh5.googleusercontent.com/p/AF1QipM7eBwCsSO7wB36tOnJX1MFaEKIGPB3nYpvyXwe=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM7eBwCsSO7wB36tOnJX1MFaEKIGPB3nYpvyXwe=w1600-h1000-k-no,,"{""Monday"": ""7AM-10PM"", ""Tuesday"": ""7AM-10PM"", ""Wednesday"": ""7AM-10PM"", ""Thursday"": ""7AM-10PM"", ""Friday"": ""7AM-10PM"", ""Saturday"": ""7AM-10PM"", ""Sunday"": ""8AM-3PM""}",Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: 8AM-3PM,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}}",,,,,FALSE,,Gama Market,,,,,,"https://www.google.com/maps/place/Gama+Market/@41.9981754,21.417370599999998,14z/data=!4m8!1m2!2m1!1sGama+Market!3m4!1s0x135415cc495340e1:0x7da04c6f2dbf862b!8m2!3d41.9981754!4d21.417370599999998",ChIJ4UBTScwVVBMRK4a_LW9MoH0,0x135415cc495340e1:0x7da04c6f2dbf862b,9.05E+18,9.05E+18,
"market, Skopje, North Macedonia",Zur Market,http://www.zurmarket.com.mk/,Market,Market,?????,+389 2 246 1642,"Hristo Smirnenski 19, Skopje 1000",Centar,Hristo Smirnenski 19,Skopje,1000,,,Republic of North Macedonia,MK,41.9983523,21.4151879,Europe/Skopje,,FALSE,4.2,217,"https://search.google.com/local/reviews?placeid=ChIJh1RlIkYUVBMRcHS_DN-s7l4&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 5, ""2"": 9, ""3"": 47, ""4"": 39, ""5"": 117}",5,9,47,39,117,13,https://lh5.googleusercontent.com/p/AF1QipM6EkHCC899xVMZnVdS4DAGU2tBsh3zh3uELqO9=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipM6EkHCC899xVMZnVdS4DAGU2tBsh3zh3uELqO9=w1600-h1000-k-no,,"{""Monday"": ""7:30AM-10PM"", ""Tuesday"": ""7:30AM-10PM"", ""Wednesday"": ""7:30AM-10PM"", ""Thursday"": ""7:30AM-10PM"", ""Friday"": ""7:30AM-10PM"", ""Saturday"": ""7:30AM-9:30PM"", ""Sunday"": ""Closed""}",Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-9:30PM | Sunday: Closed,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}}",,,,,FALSE,,Zur Market,,,,,,"https://www.google.com/maps/place/Zur+Market/@41.9983523,21.4151879,14z/data=!4m8!1m2!2m1!1sZur+Market!3m4!1s0x1354144622655487:0x5eeeacdf0cbf7470!8m2!3d41.9983523!4d21.4151879",ChIJh1RlIkYUVBMRcHS_DN-s7l4,0x1354144622655487:0x5eeeacdf0cbf7470,6.84E+18,6.84E+18,
"market, Skopje, North Macedonia",Kipper Market,,Hypermarket,Hypermarket,Hypermarket,,"Shuto Orizari 1a, Skopje 1000",Shuto Orizari,"Shuto Orizari 1a, Skopje 1000",Skopje,1000,,,Republic of North Macedonia,MK,42.0288968,21.4289235,Europe/Skopje,,FALSE,4.2,33,"https://search.google.com/local/reviews?placeid=ChIJM0jiIIMVVBMRTbYmKPsNJ-0&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 2, ""2"": 2, ""3"": 5, ""4"": 4, ""5"": 20}",2,2,5,4,20,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vnV0yguRCPVDR-HlKdz64w&cb_client=search.gws-prod.gps&w=800&h=500&yaw=188.30817&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vnV0yguRCPVDR-HlKdz64w&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=188.30817&pitch=0&thumbfov=100,,,,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true, ""Delivery"": false}}",,,,,FALSE,,Kipper Market,,,,,,"https://www.google.com/maps/place/Kipper+Market/@42.0288968,21.4289235,14z/data=!4m8!1m2!2m1!1sKipper+Market!3m4!1s0x1354158320e24833:0xed270dfb2826b64d!8m2!3d42.0288968!4d21.4289235",ChIJM0jiIIMVVBMRTbYmKPsNJ-0,0x1354158320e24833:0xed270dfb2826b64d,1.71E+19,-1.36E+18,
"market, Skopje, North Macedonia",KAM,http://kam.com.mk/,Discount store,"Discount store, Discount supermarket",?????????? ?? ????????? ?? ??????,+389 2 306 0644,"Kozle 53, Skopje 1000",Karposh,Kozle 53,Skopje,1000,,,Republic of North Macedonia,MK,41.9938338,21.4011241,Europe/Skopje,,FALSE,4.3,411,"https://search.google.com/local/reviews?placeid=ChIJn9Eq7j4UVBMRkS4tmaXvhWI&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 18, ""2"": 10, ""3"": 46, ""4"": 101, ""5"": 236}",18,10,46,101,236,36,https://lh5.googleusercontent.com/p/AF1QipPUnFL4joTuV4FCIkgcSkleTNJwuNf2EPAVszl7=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPUnFL4joTuV4FCIkgcSkleTNJwuNf2EPAVszl7=w1600-h1000-k-no,,"{""Monday"": ""7:30AM-10PM"", ""Tuesday"": ""7:30AM-10PM"", ""Wednesday"": ""7:30AM-10PM"", ""Thursday"": ""7:30AM-10PM"", ""Friday"": ""7:30AM-10PM"", ""Saturday"": ""7:30AM-10PM"", ""Sunday"": ""Closed""}",Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true, ""Delivery"": false}, ""Accessibility"": {""Wheelchair-accessible entrance"": false}}",,,https://lh4.googleusercontent.com/-PuPL6mSwcqE/AAAAAAAAAAI/AAAAAAAAAAA/72sMe_mX8M8/s44-p-k-no-ns-nd/photo.jpg,,TRUE,1.16E+20,KAM,https://www.google.com/maps/contrib/116157257229082874465,,,,,"https://www.google.com/maps/place/KAM/@41.9938338,21.4011241,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x1354143eee2ad19f:0x6285efa5992d2e91!8m2!3d41.9938338!4d21.4011241",ChIJn9Eq7j4UVBMRkS4tmaXvhWI,0x1354143eee2ad19f:0x6285efa5992d2e91,7.10E+18,7.10E+18,
"market, Skopje, North Macedonia",CITY MARKET,,Market,"Market, Grocery store",Market,,"3rd Macedonian Brigade Blvd (lamela A) No. 47/4 3-?? ?????????? ??????? ??. 47 (?????? ?) ????? 4 Skopje MK, 1000",Aerodrom,3rd Macedonian Brigade Blvd (lamela A) No. 47/4 3-?? ?????????? ??????? ??. 47 (?????? ?) ????? 4 Skopje MK,Skopje,1000,,,Republic of North Macedonia,MK,41.9801421,21.4594505,Europe/Skopje,,FALSE,4.6,51,"https://search.google.com/local/reviews?placeid=ChIJM1u5kWEVVBMRbG8oaf19MyY&q=market,+Skopje,+North+Macedonia&authuser=0&hl=en&gl=MK",,"{""1"": 1, ""2"": 1, ""3"": 4, ""4"": 7, ""5"": 38}",1,1,4,7,38,10,https://lh5.googleusercontent.com/p/AF1QipPjjs7ZTEImnS2lhcqq4YF4AQCaQkh5hRReIG2B=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPjjs7ZTEImnS2lhcqq4YF4AQCaQkh5hRReIG2B=w1600-h1000-k-no,,"{""Monday"": ""7:30AM-9:30PM"", ""Tuesday"": ""7:30AM-9:30PM"", ""Wednesday"": ""7:30AM-9:30PM"", ""Thursday"": ""7:30AM-9:30PM"", ""Friday"": ""7:30AM-9:30PM"", ""Saturday"": ""7:30AM-9:30PM"", ""Sunday"": ""Closed""}",Monday: 7:30AM-9:30PM | Tuesday: 7:30AM-9:30PM | Wednesday: 7:30AM-9:30PM | Thursday: 7:30AM-9:30PM | Friday: 7:30AM-9:30PM | Saturday: 7:30AM-9:30PM | Sunday: Closed,,,OPERATIONAL,"{""Service options"": {""In-store shopping"": true}, ""Accessibility"": {""Wheelchair-accessible entrance"": true}}",,,https://lh5.googleusercontent.com/-vA9IOolX3jk/AAAAAAAAAAI/AAAAAAAAAAA/IBzl8NyDnJU/s44-p-k-no-ns-nd/photo.jpg,,TRUE,1.08E+20,CITY MARKET,https://www.google.com/maps/contrib/107825234258629230790,,,,,"https://www.google.com/maps/place/CITY+MARKET/@41.980142099999995,21.4594505,14z/data=!4m8!1m2!2m1!1sCITY+MARKET!3m4!1s0x1354156191b95b33:0x26337dfd69286f6c!8m2!3d41.980142099999995!4d21.4594505",ChIJM1u5kWEVVBMRbG8oaf19MyY,0x1354156191b95b33:0x26337dfd69286f6c,2.75E+18,2.75E+18,
