"name","site","type","phone","full_address","borough","rating","reviews","working_hours_old_format","location_link"
"Old Bazaar","","Market","","MK, Skopje 1000","Chair","4.5","14890","Monday: 8AM-6PM | Tuesday: 8AM-12AM | Wednesday: 8AM-12AM | Thursday: 8AM-12AM | Friday: 8AM-12AM | Saturday: 8AM-12AM | Sunday: 9AM-12AM","https://www.google.com/maps/place/Old+Bazaar/@42.000961,21.4371546,14z/data=!4m8!1m2!2m1!1sOld+Bazaar!3m4!1s0x135415afad379837:0xd19f732f5ede1e48!8m2!3d42.000961!4d21.4371546"
"Local Famers Market","","Grocery store","","Vladimir Polezhinovski 27, Skopje 1000","Centar","5","2","","https://www.google.com/maps/place/Local+Famers+Market/@41.9984526,21.4149845,14z/data=!4m8!1m2!2m1!1sLocal+Famers+Market!3m4!1s0x1354156600a0b939:0xcb35c6715acb03c9!8m2!3d41.9984526!4d21.4149845"
"Farmers' Market","http://skopskipazar.com.mk/","Farmers' market","+389 2 240 4100","11th October St. 18, Skopje 1000","Centar","4.2","1656","Monday: 7AM-6PM | Tuesday: 7AM-6PM | Wednesday: 7AM-6PM | Thursday: 7AM-6PM | Friday: 7AM-6PM | Saturday: 7AM-6PM | Sunday: 7AM-2PM","https://www.google.com/maps/place/Farmers%27+Market/@41.99187,21.433718799999998,14z/data=!4m8!1m2!2m1!1sFarmers%27+Market!3m4!1s0x135415b603cfc55b:0xe9027c3a8fad052d!8m2!3d41.99187!4d21.433718799999998"
"Gama Market","","Market","","Kosturski Heroi 27, Skopje 1000, 1000","Centar","2","1","Monday: 7AM-10PM | Tuesday: 7AM-10PM | Wednesday: 7AM-10PM | Thursday: 7AM-10PM | Friday: 7AM-10PM | Saturday: 7AM-10PM | Sunday: 8AM-3PM","https://www.google.com/maps/place/Gama+Market/@41.9981754,21.417370599999998,14z/data=!4m8!1m2!2m1!1sGama+Market!3m4!1s0x135415cc495340e1:0x7da04c6f2dbf862b!8m2!3d41.9981754!4d21.417370599999998"
"Zur Market","http://www.zurmarket.com.mk/","Market","+389 2 246 1642","Hristo Smirnenski 19, Skopje 1000","Centar","4.2","217","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-9:30PM | Sunday: Closed","https://www.google.com/maps/place/Zur+Market/@41.9983523,21.4151879,14z/data=!4m8!1m2!2m1!1sZur+Market!3m4!1s0x1354144622655487:0x5eeeacdf0cbf7470!8m2!3d41.9983523!4d21.4151879"
"Kipper Market","","Hypermarket","","Shuto Orizari 1a, Skopje 1000","Shuto Orizari","4.2","33","","https://www.google.com/maps/place/Kipper+Market/@42.0288968,21.4289235,14z/data=!4m8!1m2!2m1!1sKipper+Market!3m4!1s0x1354158320e24833:0xed270dfb2826b64d!8m2!3d42.0288968!4d21.4289235"
"KAM","http://kam.com.mk/","Discount store","+389 2 306 0644","Kozle 53, Skopje 1000","Karposh","4.3","411","Monday: 7:30AM-10PM | Tuesday: 7:30AM-10PM | Wednesday: 7:30AM-10PM | Thursday: 7:30AM-10PM | Friday: 7:30AM-10PM | Saturday: 7:30AM-10PM | Sunday: Closed","https://www.google.com/maps/place/KAM/@41.9938338,21.4011241,14z/data=!4m8!1m2!2m1!1sKAM!3m4!1s0x1354143eee2ad19f:0x6285efa5992d2e91!8m2!3d41.9938338!4d21.4011241"
"Nova Market","","Market","","Natanail kucevski br.44 Skopje MK, 1000","Butel","","","Monday: 7AM-12PM | Tuesday: 7AM-12PM | Wednesday: 7AM-12PM | Thursday: 7AM-12PM | Friday: 7AM-12PM | Saturday: 7AM-12PM | Sunday: 7AM-12PM","https://www.google.com/maps/place/Nova+Market/@42.0324969,21.4444371,14z/data=!4m8!1m2!2m1!1sNova+Market!3m4!1s0x1354150af3d4fb4f:0x5f79c67ecd92e8c5!8m2!3d42.0324969!4d21.4444371"
"KAM doo","http://kam.com.mk/","Discount supermarket","+389 2 317 1747","Industriska bb, Skopje 1000","Gazi Baba","4.3","43","Monday: 8AM-4PM | Tuesday: 8AM-4PM | Wednesday: 8AM-4PM | Thursday: 8AM-4PM | Friday: 8AM-4PM | Saturday: Closed | Sunday: Closed","https://www.google.com/maps/place/KAM+doo/@41.998093,21.469607,14z/data=!4m8!1m2!2m1!1sKAM+doo!3m4!1s0x13541586ac1b781f:0x465d21ac6b82b91c!8m2!3d41.998093!4d21.469607"
"Kipper Market nr.27","","Hypermarket","","Boro Menkov 3, Skopje 1000","Butel","5","1","","https://www.google.com/maps/place/Kipper+Market+nr.27/@42.0236437,21.4376614,14z/data=!4m8!1m2!2m1!1sKipper+Market+nr.27!3m4!1s0x13541594bbb49ceb:0x837ce3b167af4abe!8m2!3d42.0236437!4d21.4376614"
